letter,digit,!,<,>,=,+,-,*,/,",",;,(,),[,],{,},delim,bad_char
1,2,3,4,5,6,19,20,21,7,23,24,25,26,27,28,29,30,0,32
1,33,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,32
34,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32
35,35,35,35,35,12,35,35,35,35,35,35,35,35,35,35,35,35,35,32
13,13,13,13,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,32
15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,32
17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,32
22,22,22,22,22,22,22,22,8,22,22,22,22,22,22,22,22,22,22,32
8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,31,8,8,8,8,8,8,8,8,8,8
